Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
227029418,2020.10.04 00:03:38,balance,Financing,,,,,,,,,,-19.27
227031029,2020.10.05 00:03:43,balance,Financing,,,,,,,,,,-19.28
227067623,2020.10.06 00:04:32,balance,Financing,,,,,,,,,,-20.53
227105364,2020.10.07 00:04:59,balance,Financing,,,,,,,,,,-20.78
227147874,2020.10.08 00:05:03,balance,Financing,,,,,,,,,,-20.89
227170453,2020.10.09 00:03:58,balance,Financing,,,,,,,,,,-21.54
227171982,2020.10.09 02:31:01,balance,Financing,,,,,,,,,,-2.26
227210827,2020.10.11 00:02:23,balance,Financing,,,,,,,,,,-0.01
227212889,2020.10.12 00:03:45,balance,Financing,,,,,,,,,,-0.01
227248253,2020.10.13 00:05:16,balance,Financing,,,,,,,,,,-0.01
227289281,2020.10.14 00:04:46,balance,Financing,,,,,,,,,,-0.01
227328199,2020.10.15 00:04:54,balance,Financing,,,,,,,,,,-0.01
227368144,2020.10.16 00:05:00,balance,Financing,,,,,,,,,,-0.01
227403602,2020.10.17 00:04:47,balance,Financing,,,,,,,,,,-0.02
227405861,2020.10.18 00:03:40,balance,Financing,,,,,,,,,,-0.01
227407292,2020.10.19 00:03:36,balance,Financing,,,,,,,,,,-0.01
227436888,2020.10.20 00:03:25,balance,Financing,,,,,,,,,,-0.01
227482956,2020.10.21 00:03:34,balance,Financing,,,,,,,,,,-0.01
227523679,2020.10.22 00:03:47,balance,Financing,,,,,,,,,,-0.02
227575530,2020.10.23 00:04:59,balance,Financing,,,,,,,,,,-0.01
227607206,2020.10.24 00:03:13,balance,Financing,,,,,,,,,,-0.01
227619342,2020.10.25 00:03:41,balance,Financing,,,,,,,,,,-0.01
227620734,2020.10.26 00:03:41,balance,Financing,,,,,,,,,,-0.01
227662464,2020.10.27 00:05:06,balance,Financing,,,,,,,,,,-0.02
227704976,2020.10.28 00:04:53,balance,Financing,,,,,,,,,,-0.01
227751841,2020.10.29 00:04:09,balance,Financing,,,,,,,,,,-0.01
,,,,,,,,,,0,0,0,7 143.87
Closed P/L:,,,,,,,,,,,,7 143.87,
Open Trades:,,,,,,,,,,,,,
Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,,Price,Commission,Taxes,Swap,Profit
227185528,2020.10.09 20:04:42,buy,0.01,wticousd-e,40.553,0,0,,35.585,0,0,0,-4.97
,,,,,,,,,,0,0,0,-4.97
,,,,,,,,,,Floating P/L:,,-4.97,
Working Orders:,,,,,,,,,,,,,
Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Market Price,,,,,
No transactions,,,,,,,,,,,,,
,,,,,,,,,,,,,
Summary:,,,,,,,,,,,,,
Deposit/Withdrawal:,,99 760.20,,Credit Facility:,,,,0,,,,,
Closed Trade P/L:,,7 143.87,,Floating P/L:,,,,-4.97,Margin:,,,0.81,
Balance:,,106 904.07,,Equity:,,,,106 899.10,Free Margin:,,,106 898.29,
